domein,product_url,product_naam,variant,prijs,vergelijkingsprijs,eenheid,eenheidsprijs,sku,categorieën
noototheek.nl,https://noototheek.nl/products/rozijnen-gemengd,Rozijnen Gemengd,Standaard,23.95,,,,6097347219275,
noototheek.nl,https://noototheek.nl/products/rozijnen-gemengd,Rozijnen Gemengd,Standaard,44.95,,,,6097357924954,
noototheek.nl,https://noototheek.nl/products/quinoa,Quinoa,Standaard,3.5,,,,6097348382305,
noototheek.nl,https://noototheek.nl/products/honey-mix-met-zout,Honey Mix Met Zout,Standaard,3.95,,,,6097348323315,
noototheek.nl,https://noototheek.nl/products/honey-mix-met-zout,Honey Mix Met Zout,Standaard,6.75,,,,6097351886814,
noototheek.nl,https://noototheek.nl/products/honey-mix-met-zout,Honey Mix Met Zout,Standaard,99.95,,,,6097346394348,
noototheek.nl,https://noototheek.nl/products/chocolade-rijstbollen-cappuccino,Chocolade Rijstbollen Cappuccino,Standaard,4.95,,,,6097346668630,
noototheek.nl,https://noototheek.nl/products/chocolade-rijstbollen-cappuccino,Chocolade Rijstbollen Cappuccino,Standaard,13.95,,,,6097350719724,
noototheek.nl,https://noototheek.nl/products/chocolade-rijstbollen-cappuccino,Chocolade Rijstbollen Cappuccino,Standaard,51.95,,,,6097350850892,
noototheek.nl,https://noototheek.nl/products/gevriesdroogde-kiwi-schijfjes,Gevriesdroogde Kiwi Schijfjes,Standaard,4.49,,,,6097350862864,
noototheek.nl,https://noototheek.nl/products/gevriesdroogde-kiwi-schijfjes,Gevriesdroogde Kiwi Schijfjes,Standaard,29.95,,,,6097347977960,
noototheek.nl,https://noototheek.nl/products/gevriesdroogde-kiwi-schijfjes,Gevriesdroogde Kiwi Schijfjes,Standaard,49.95,,,,6097345838836,
noototheek.nl,https://noototheek.nl/products/suikerpindas,Suikerpinda's,Standaard,2.49,,,,6097346968938,
noototheek.nl,https://noototheek.nl/products/suikerpindas,Suikerpinda's,Standaard,5.95,,,,6097342672624,
noototheek.nl,https://noototheek.nl/products/suikerpindas,Suikerpinda's,Standaard,54.95,,,,6097344549542,
noototheek.nl,https://noototheek.nl/products/chocolade-royal-mix,Chocolade Royal Mix,Standaard,6.49,,,,6097343190127,
noototheek.nl,https://noototheek.nl/products/chocolade-royal-mix,Chocolade Royal Mix,Standaard,18.49,,,,6097346827877,
noototheek.nl,https://noototheek.nl/products/chocolade-royal-mix,Chocolade Royal Mix,Standaard,79.95,,,,8715575015787,
noototheek.nl,https://noototheek.nl/products/aikido-mix,Aikido Mix,Standaard,2.25,,,,6097354756763,
noototheek.nl,https://noototheek.nl/products/aikido-mix,Aikido Mix,Standaard,5.95,,,,6097348581586,
noototheek.nl,https://noototheek.nl/products/aikido-mix,Aikido Mix,Standaard,49.95,,,,8715575010768,
noototheek.nl,https://noototheek.nl/products/luxe-notenmix-raw,Luxe Notenmix Ongebrand,Standaard,6.5,,,,6097344336333,
noototheek.nl,https://noototheek.nl/products/luxe-notenmix-raw,Luxe Notenmix Ongebrand,Standaard,12.95,,,,6097349233262,
noototheek.nl,https://noototheek.nl/products/luxe-notenmix-raw,Luxe Notenmix Ongebrand,Standaard,49.95,,,,6097357379389,
noototheek.nl,https://noototheek.nl/products/fudge-chocolade,Fudge Chocolade,Standaard,3.25,,,,6097352393342,
noototheek.nl,https://noototheek.nl/products/fudge-chocolade,Fudge Chocolade,Standaard,17.99,,,,5410448235011,
noototheek.nl,https://noototheek.nl/products/pistachenoten-gepeld-en-ongebrand,Pistachenoten Gepeld Ongebrand,Standaard,13.95,,,,6097343954989,
noototheek.nl,https://noototheek.nl/products/pistachenoten-gepeld-en-ongebrand,Pistachenoten Gepeld Ongebrand,Standaard,28.95,,,,6097342049020,
noototheek.nl,https://noototheek.nl/products/pistachenoten-gepeld-en-ongebrand,Pistachenoten Gepeld Ongebrand,Standaard,462.5,,,,6097345257255,
noototheek.nl,https://noototheek.nl/products/bakvaste-chocolade-druppels-puur,Bakvaste Chocolade Druppels Puur,Standaard,7.49,,,,6097352078089,
noototheek.nl,https://noototheek.nl/products/gevriesdroogd-fruit-mix,Gevriesdroogd Fruit Mix,Standaard,6.95,,,,6097348572553,
